Footprint;Designator;Comment;LCSC;Description
0603;L2,L3,L4;WE-CBF_0603;;
1X02;JP2;M02PTH;;
1X04;JP1;M04PTH;;
2X5-SHROUDED;JP4;M05X2SHD;;
3,0TINY;H3,H5;MOUNT-HOLE3.0TINY;;
ALPS_POT_VERTICAL_PS;R13,R14,R16,R20,R21,R37,R38,R4;10kB;;
C&K_D6R;SW1,SW2;SW_Push_LED;;
C0402;C1,C12,C13,C16,C17,C18,C19,C21,C24,C26,C28,C29,C36,C37,C38,C39,C46,C47,C48,C49,C50,C7,C8,C9;100n;C307331;50V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C0402;C4,C6;20p;C1554;50V 20pF C0G ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C0402;C30,C32,C33,C40,C42;4.7n;C1538;50V 4.7nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C0402;C25,C51,C52;470n;C386109;50V 470nF X5R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C0402;C31,C41;470p;C1537;50V 470pF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C0402;C34,C35,C43,C44;47p;C1567;50V 47pF C0G ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C0603;C45,C53,C54,C55,C56,C57,C58;ESD;C1588;50V 1nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C0805;C10,C15,C20;2.2u;C49217;50V 2.2uF Y5V ±20% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C1206;C14,C3,C5;22u;C12891;25V 22uF X5R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
CTS406;Q1;8MHz;C157341;8MHz SMD Crystal Resonator 20pF ±10ppm ±50ppm -40℃~+85℃ SMD5032-4P  Crystals ROHS
DBZ_R-PDSO-G3;IC8;LM4040B10;C129965;10V -40℃~+85℃@(TA) ±0.1% 103μA 15mA 100ppm/℃ Fixed SOT-23(SOT-23-3)  Voltage References ROHS
FIDUCIAL-1X2;F1,F2,F3;FIDUCIAL1X2;;
L2012C;L1;33u;C32375;5mA 22uH ±10% 1.1Ω 0805  Inductors (SMD) ROHS
LED-BICOLOR-THROUGHHOLE-2.54;LED1,LED2,LED3,LED4,LED5;LED-BICOLOR-THROUGHHOLE;;
LED3MM;LED10,LED11,LED12,LED6,LED7,LED8,LED9;WP937EGW;;
PANASONIC_C;C11,C2,C22,C23,C27;22u;C128468;-40℃~+105℃ 2000hrs@105℃ 22uF 5.8mm 16V 5mm ±20% SMD,5x5.8mm  Aluminum Electrolytic Capacitors - SMD ROHS
PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left;J17;Conn_01x04_Male;;
R0402;R68;1.0k;C11702;1/16W Thick Film Resistors 50V ±1% ±100ppm/℃ -55℃~+155℃ 1kΩ 0402  Chip Resistor - Surface Mount ROHS
R0402;R10,R12,R17,R18,R36;1.5k;C25867;1/16W Thick Film Resistors 50V ±1% ±100ppm/℃ -55℃~+155℃ 1.5kΩ 0402  Chip Resistor - Surface Mount ROHS
R0402;R2,R3,R7,R8;100;C25076;1/16W Thick Film Resistors 50V ±1% ±200ppm/℃ -55℃~+155℃ 100Ω 0402  Chip Resistor - Surface Mount ROHS
R0402;R24,R25,R26,R27,R32,R33,R34,R35,R43,R44,R60,R61,R64,R65,R66,R73,R76,R77;100k;C25741;1/16W Thick Film Resistors 50V ±1% ±100ppm/℃ -55℃~+155℃ 100kΩ 0402  Chip Resistor - Surface Mount ROHS
R0402;R22,R23,R55,R56,R6,R67;10k;C25744;1/16W Thick Film Resistors 50V ±1% ±100ppm/℃ -55℃~+155℃ 10kΩ 0402  Chip Resistor - Surface Mount ROHS
R0402;R74;150k;C25755;1/16W Thick Film Resistors 50V ±1% ±100ppm/℃ -55℃~+155℃ 150kΩ 0402  Chip Resistor - Surface Mount ROHS
R0402;R82,R83,R84;180;C38941;1/16W Thick Film Resistors 50V ±1% ±100ppm/℃ -55℃~+155℃ 180Ω 0402  Chip Resistor - Surface Mount ROHS
R0402;R11,R15,R19,R9;2.2k;C25879;1/16W Thick Film Resistors 50V ±1% ±100ppm/℃ -55℃~+155℃ 2.2kΩ 0402  Chip Resistor - Surface Mount ROHS
R0402;R28,R29,R30,R31,R70,R71,R72;200k;C25764;1/16W Thick Film Resistors 50V ±1% ±100ppm/℃ -55℃~+155℃ 200kΩ 0402  Chip Resistor - Surface Mount ROHS
R0402;R47,R48,R53,R54;23.7k;C82134;1/16W Thick Film Resistors 50V ±1% ±100ppm/℃ -55℃~+155℃ 23.7kΩ 0402  Chip Resistor - Surface Mount ROHS
R0402;R39,R40,R41,R42,R57,R58,R59;33k;C25779;1/16W Thick Film Resistors 50V ±1% ±100ppm/℃ -55℃~+155℃ 33kΩ 0402  Chip Resistor - Surface Mount ROHS
R0402;R1,R5;39;C25110;1/16W Thick Film Resistors 50V ±1% ±100ppm/℃ -55℃~+155℃ 39Ω 0402  Chip Resistor - Surface Mount ROHS
R0402;R49,R50,R75;39k;C25783;1/16W Thick Film Resistors 50V ±1% ±100ppm/℃ -55℃~+155℃ 39kΩ 0402  Chip Resistor - Surface Mount ROHS
R0402;R51,R52,R69;56k;C25796;1/16W Thick Film Resistors 50V ±1% ±100ppm/℃ -55℃~+155℃ 56kΩ 0402  Chip Resistor - Surface Mount ROHS
R0402;R78,R79,R80,R81;680;C25130;1/16W Thick Film Resistors 50V ±1% ±100ppm/℃ -55℃~+155℃ 680Ω 0402  Chip Resistor - Surface Mount ROHS
R0603;R45,R46,R62,R63,R85,R86,R87;1.0k;C21190;1/10W Thick Film Resistors 75V ±1% ±100ppm/℃ -55℃~+155℃ 1kΩ 0603  Chip Resistor - Surface Mount ROHS
SO-14_3.9x8.65mm_P1.27mm;IC7;OPA4171;;
SOD123;D1,D2;1N5819HW;C82544;40V 450mV@1A 1A SOD-123  Schottky Barrier Diodes (SBD) ROHS
SOD523;D4,D5;1N4148;C68948;75V +150℃@(Tj) 150mW Single 1.25V@150mA 4ns 1μA@75V 150mA SOD-523  Switching Diode ROHS
SOT23;D3;BAT54S;C408389;30V 1V@100mA 200mA SOT-23  Schottky Barrier Diodes (SBD) ROHS
SOT23-BEC;Q2,Q3;MMBT3904;C20526;40V 200mW 200mA 100@10mA,1V 300MHz 300mV@50mA,5mA NPN +150℃@(Tj) SOT-23(SOT-23-3)  Bipolar Transistors - BJT ROHS
SOT89;IC3;LD2981ABU33;C221514;63dB@(1kHz) 100mA 375mV@(100mA) Fixed 3.3V~3.3V Positive 1 16V SOT-89(SOT-89-3)  Linear Voltage Regulators (LDO) ROHS
TACTILE-PTH;SW3,SW4,SW5,SW6,SW7;TAC_SWITCHPTH;;
TQFP-10X10-64;IC2;STM32F405RGT6;C15742;ARM® Cortex®-M4 168MHz FLASH 1.8V ~ 3.6V 32-Bit LQFP-64_10x10x05P  ST Microelectronics ROHS
TSSOP-16_4.4x5mm_P0.65mm;IC4;DAC8565;;
TSSOP14_065;IC9;LM324PW;C7942;
TSSOP14_065;IC5,IC6;MCP6004;C50282;0.6 V/us 4 1MHz 1.8V ~ 6V General Purpose TSSOP-14  Operational Amplifier ROHS
TSSOP14_065;IC10;TL074PW;C96507;1.4mA 13 V/us 4 3MHz J-FET 7V~36V,±3.5V~18V TSSOP-14  FET InputAmplifiers ROHS
WE78;IC1;R-78E3.3-0.5;;
WQP_PJ_301M6;J1,J10,J11,J12,J13,J14,J15,J16,J2,J3,J4,J5,J6,J7,J8,J9;PJ301_THONKICONN6;;
bicolor 0606 LED;LED1-2,LED10-2,LED11-2,LED12-2,LED2-2,LED3-2,LED4-2,LED5-2,LED6-2,LED7-2,LED8-2,LED9-2;LED_Dual_KAKA;;
